id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length
1,CO,269,SFO,IAH,3,15,205
2,US,1558,PHX,CLT,3,15,222
3,AA,2400,LAX,DFW,3,20,165
4,AA,2466,SFO,DFW,3,20,195
5,AS,108,ANC,SEA,3,30,202
6,CO,1094,LAX,IAH,3,30,181
7,DL,1768,LAX,MSP,3,30,220
8,DL,2722,PHX,DTW,3,30,228
9,DL,2606,SFO,MSP,3,35,216
10,AA,2538,LAS,ORD,3,40,200
11,CO,223,ANC,SEA,3,49,201
12,DL,1646,PHX,ATL,3,50,212
13,DL,2055,SLC,ATL,3,50,210
14,AA,2408,LAX,DFW,3,55,170
15,AS,132,ANC,PDX,3,55,215
16,US,498,DEN,CLT,3,55,179
17,B6,98,DEN,JFK,3,59,213
18,CO,1496,LAS,IAH,3,60,162
19,DL,1450,LAS,MSP,3,60,181
20,CO,507,ONT,IAH,3,75,167
21,AS,128,FAI,SEA,3,80,206
22,DL,2223,ANC,SLC,3,85,270
23,AS,112,ANC,SEA,3,90,200
24,HA,17,LAS,HNL,3,100,380
25,US,122,ANC,PHX,3,113,327
26,AS,114,ANC,SEA,3,150,200
27,B6,766,BQN,MCO,3,240,169
28,B6,768,PSE,MCO,3,262,180
29,HA,206,HNL,OGG,3,300,36
30,OO,4746,BIS,MSP,3,300,85
31,OO,6466,IYK,LAX,3,300,53
32,US,1011,EWR,CLT,3,300,111
33,US,1983,BOS,CLT,3,300,135
34,HA,108,HNL,KOA,3,302,41
35,OO,6900,MKE,ORD,3,302,44
36,9E,3975,GFK,MSP,3,305,68
37,HA,102,HNL,ITO,3,305,49
38,OO,4829,OMA,MSP,3,305,75
39,OH,6338,GSO,ATL,3,315,93
40,OO,6505,LMT,SFO,3,315,95
41,US,149,SEA,PHX,3,315,166
42,US,1640,MCO,CLT,3,315,97
43,US,908,TPA,CLT,3,315,96
44,HA,106,HNL,OGG,3,317,36
45,9E,3854,DLH,MSP,3,320,58
46,DL,1276,MSP,ATL,3,320,158
47,OO,4651,FAR,MSP,3,320,62
48,CO,1585,MFE,IAH,3,325,64
49,CO,222,MSY,IAH,3,325,70
50,EV,4966,VPS,ATL,3,325,69
51,US,1521,BWI,CLT,3,325,83
52,XE,2827,MAF,IAH,3,325,85
53,OO,4719,LWS,SLC,3,328,87
54,9E,3702,RST,MSP,3,330,50
55,9E,3775,ALB,DTW,3,330,120
56,9E,3886,DSM,ATL,3,330,135
57,AA,1711,BOS,MIA,3,330,210
58,CO,611,EWR,IAH,3,330,233
59,DL,1143,CHS,ATL,3,330,72
60,DL,1511,MSN,DTW,3,330,80
61,DL,1518,MCO,ATL,3,330,84
62,DL,1698,JAX,ATL,3,330,80
63,DL,1842,SAT,ATL,3,330,142
64,DL,1972,TPA,ATL,3,330,85
65,DL,2054,PNS,ATL,3,330,75
66,DL,2112,BHM,ATL,3,330,58
67,DL,2306,LIT,ATL,3,330,97
68,DL,2711,SAV,ATL,3,330,65
69,DL,2995,BNA,ATL,3,330,67
70,EV,4940,OMA,ATL,3,330,147
71,EV,5014,ICT,ATL,3,330,132
72,EV,5044,ECP,ATL,3,330,68
73,EV,5117,DHN,ATL,3,330,70
74,EV,5393,MGM,ATL,3,330,57
75,EV,5532,CAE,ATL,3,330,64
76,EV,7108,PWM,IAD,3,330,114
77,OO,6917,ACV,SMF,3,330,65
78,OO,7781,EKO,SLC,3,330,70
79,US,1289,BOS,PHL,3,330,84
80,US,1420,PHL,CLT,3,330,102
81,US,1732,ATL,CLT,3,330,68
82,US,347,PDX,PHX,3,330,148
83,US,913,RIC,CLT,3,330,72
84,XE,2263,BTR,IAH,3,330,72
85,XE,3024,HRL,IAH,3,330,70
86,YV,2605,MYR,CLT,3,330,62
87,HA,103,HNL,LIH,3,331,35
88,UA,576,SEA,DEN,3,331,159
89,OO,6644,TUS,DEN,3,333,112
90,YV,7294,SBN,ORD,3,334,46
91,9E,3661,CAK,DTW,3,335,76
92,9E,3725,TVC,DTW,3,335,75
93,9E,3804,CLE,ATL,3,335,128
94,AA,674,ORD,MIA,3,335,185
95,B6,728,BQN,JFK,3,335,231
96,CO,463,ORD,IAH,3,335,164
97,OH,6423,DAY,DTW,3,335,75
98,OO,6698,MFR,PDX,3,335,74
99,XE,2865,MKE,IAH,3,335,174
100,EV,7101,BTV,IAD,3,336,110
101,9E,3998,TLH,ATL,3,338,68
102,9E,4196,TYS,ATL,3,340,57
103,CO,214,DFW,IAH,3,340,59
104,DL,2123,BOS,DTW,3,340,144
105,DL,2597,RIC,ATL,3,340,109
106,DL,2626,FLL,ATL,3,340,118
107,DL,684,AUS,ATL,3,340,134
108,EV,5583,CHA,ATL,3,340,47
109,MQ,4563,CMH,LGA,3,340,100
110,XE,2616,LRD,IAH,3,340,66
111,XE,3006,BRO,IAH,3,340,70
112,XE,3015,CRP,IAH,3,340,59
113,XE,5970,LAN,ORD,3,340,71
114,9E,3659,ALB,ATL,3,345,183
115,9E,3862,SAT,MEM,3,345,119
116,9E,3949,PVD,DTW,3,345,135
117,9E,4143,FWA,DTW,3,345,59
118,AA,1141,JFK,MIA,3,345,190
119,AA,1297,DFW,MIA,3,345,160
120,AA,2320,DFW,ORD,3,345,140
121,CO,1677,PHL,IAH,3,345,219
122,CO,1727,BWI,IAH,3,345,208
123,CO,240,AUS,IAH,3,345,55
124,CO,278,SAT,IAH,3,345,54
125,CO,633,LGA,IAH,3,345,235
126,DL,1095,OKC,ATL,3,345,127
127,DL,1112,PIT,ATL,3,345,131
128,DL,1506,LAX,DTW,3,345,270
129,DL,1580,SFO,DTW,3,345,270
130,DL,2320,PBI,ATL,3,345,113
131,DL,2481,ORF,ATL,3,345,120
132,DL,2710,DFW,ATL,3,345,132
133,DL,2939,DCA,ATL,3,345,120
134,EV,5142,AEX,ATL,3,345,119
135,EV,5218,SYR,ATL,3,345,158
136,EV,5233,BTR,ATL,3,345,97
137,EV,5362,SHV,ATL,3,345,123
138,EV,5501,VLD,ATL,3,345,62
139,OH,6264,BDL,CVG,3,345,133
140,OH,6549,MFE,MEM,3,345,118
141,OO,6407,FAT,SFO,3,345,45
142,OO,6647,BZN,DEN,3,345,107
143,OO,6925,PHX,LAX,3,345,85
144,OO,6964,RDM,PDX,3,345,58
145,US,1423,DCA,CLT,3,345,85
146,XE,2919,LFT,IAH,3,345,58
147,XE,5951,CAK,ORD,3,345,95
148,OO,6480,IPL,YUM,3,346,34
149,OO,6843,EAU,CWA,3,346,32
150,UA,756,SFO,DEN,3,348,158
151,OO,3099,OMA,MKE,3,349,81
152,9E,3718,ERI,DTW,3,350,65
153,B6,107,BUF,JFK,3,350,83
154,DL,1248,IAH,ATL,3,350,130
155,DL,1985,DAY,ATL,3,350,114
156,DL,2387,MKE,ATL,3,350,129
157,DL,2405,PHL,DTW,3,350,115
158,DL,734,MCI,ATL,3,350,129
159,EV,5165,AGS,ATL,3,350,60
160,FL,331,PHL,ATL,3,350,145
161,MQ,2734,ABI,DFW,3,350,50
162,MQ,2796,GRR,DFW,3,350,175
163,MQ,3014,FAT,LAX,3,350,65
164,MQ,3332,LBB,DFW,3,350,70
165,MQ,3632,CLT,MIA,3,350,120
166,MQ,3781,LIT,ORD,3,350,105
167,MQ,3842,MSP,ORD,3,350,95
168,MQ,3892,PHL,ORD,3,350,140
169,MQ,4013,LEX,ORD,3,350,95
170,OH,6498,ORD,ATL,3,350,128
171,OH,6629,GRR,DTW,3,350,61
172,9E,4391,MBS,DTW,3,351,59
173,HA,218,HNL,KOA,3,352,41
174,OO,6921,MOD,SFO,3,352,38
175,9E,3935,EWR,DTW,3,355,130
176,9E,3955,LBB,MEM,3,355,119
177,9E,4200,TYS,CVG,3,355,64
178,9E,4274,AMA,MEM,3,355,120
179,B6,735,JFK,BQN,3,355,215
180,DL,377,BDL,DTW,3,355,130
181,HA,202,HNL,ITO,3,355,49
182,MQ,2864,SGF,DFW,3,355,90
183,OH,6262,OMA,DTW,3,355,137
184,OH,6414,AZO,DTW,3,355,58
185,OO,7014,RDM,SFO,3,355,101
186,9E,3668,TYS,LGA,3,360,131
187,9E,3724,ABE,DTW,3,360,115
188,9E,3755,SWF,DTW,3,360,120
189,9E,3757,BGM,DTW,3,360,103
190,9E,3795,SBN,CVG,3,360,60
191,9E,3845,AVP,DTW,3,360,105
192,9E,3850,FNT,DTW,3,360,48
193,9E,3871,BHM,DTW,3,360,125
194,9E,3875,GSP,DTW,3,360,115
195,9E,3893,FWA,ATL,3,360,115
196,9E,3923,IAH,MEM,3,360,95
197,9E,3957,ATW,MSP,3,360,76
198,9E,3985,DSM,MEM,3,360,100
199,9E,4008,BTV,JFK,3,360,100
200,9E,4026,ORF,DTW,3,360,125
201,9E,4058,LAN,DTW,3,360,50
202,9E,4239,ITH,DTW,3,360,97
203,9E,4272,ECP,MEM,3,360,90
204,9E,4324,DCA,JFK,3,360,82
205,AA,1056,TUL,DFW,3,360,70
206,AA,1140,SAT,DFW,3,360,65
207,AA,1143,TPA,DFW,3,360,170
208,AA,1215,DCA,DFW,3,360,210
209,AA,1225,COS,DFW,3,360,120
210,AA,1406,OMA,DFW,3,360,125
211,AA,1584,LAS,DFW,3,360,160
212,AA,1596,PDX,DFW,3,360,225
213,AA,1602,ELP,DFW,3,360,100
214,AA,1615,BDL,DFW,3,360,260
215,AA,1631,MSY,MIA,3,360,105
216,AA,1670,AUS,ORD,3,360,165
217,AA,1755,ABQ,DFW,3,360,105
218,AA,1839,OKC,DFW,3,360,60
219,AA,1843,BOS,ORD,3,360,175
220,AA,1878,SMF,DFW,3,360,205
221,AA,1921,EWR,MIA,3,360,185
222,AA,1965,STL,DFW,3,360,115
223,AA,1994,IAH,MIA,3,360,135
224,AA,2037,BNA,MIA,3,360,135
225,AA,2060,SEA,ORD,3,360,245
226,AA,2103,IAD,MIA,3,360,160
227,AA,2203,LGA,MIA,3,360,190
228,AA,2299,DTW,MIA,3,360,190
229,AA,2301,ORD,DFW,3,360,150
230,AA,445,DCA,ORD,3,360,125
231,AA,526,SFO,DFW,3,360,215
232,AA,528,LAX,MIA,3,360,280
233,AA,548,LAX,ORD,3,360,240
234,AA,552,SFO,MIA,3,360,315
235,AA,654,PHX,DFW,3,360,130
236,AA,708,AUS,DFW,3,360,60
237,AS,454,SEA,LAX,3,360,150
238,AS,55,ANC,FAI,3,360,58
239,AS,600,SEA,LAS,3,360,143
240,AS,62,FAI,ANC,3,360,70
241,AS,81,SEA,ANC,3,360,219
242,B6,1001,BOS,JFK,3,360,71
243,B6,1133,SYR,JFK,3,360,85
244,B6,1224,RDU,BOS,3,360,101
245,B6,155,JFK,MCO,3,360,168
246,B6,162,RSW,JFK,3,360,156
247,B6,1695,BOS,MCO,3,360,192
248,B6,19,BTV,JFK,3,360,84
249,B6,247,OAK,LGB,3,360,77
250,B6,370,FLL,LGA,3,360,159
251,B6,371,LGA,FLL,3,360,174
252,B6,442,TPA,BOS,3,360,167
253,B6,45,ROC,JFK,3,360,83
254,B6,52,MCO,JFK,3,360,141
255,B6,68,FLL,JFK,3,360,160
256,B6,701,JFK,SJU,3,360,218
257,CO,1045,CLE,IAH,3,360,190
258,CO,1428,CLT,IAH,3,360,180
259,CO,1617,MCI,IAH,3,360,118
260,CO,1810,SMF,IAH,3,360,220
261,CO,1815,OMA,IAH,3,360,138
262,CO,308,PDX,IAH,3,360,238
263,CO,469,SFO,IAH,3,360,225
264,CO,759,DCA,IAH,3,360,206
265,CO,89,IAH,EWR,3,360,200
266,DL,1084,ANC,MSP,3,360,326
267,DL,1106,SEA,SLC,3,360,120
268,DL,1157,CMH,ATL,3,360,110
269,DL,1181,RSW,ATL,3,360,110
270,DL,1249,PWM,ATL,3,360,192
271,DL,1297,JFK,ATL,3,360,168
272,DL,1301,IND,ATL,3,360,105
273,DL,1371,BOS,LGA,3,360,68
274,DL,1401,BOS,ATL,3,360,190
275,DL,1445,DCA,DTW,3,360,102
276,DL,1447,LGA,ATL,3,360,167
277,DL,1504,MCI,DTW,3,360,118
278,DL,1602,LAS,ATL,3,360,223
279,DL,1625,BWI,ATL,3,360,120
280,DL,1767,CLT,DTW,3,360,115
281,DL,1831,PDX,SLC,3,360,107
282,DL,1889,CVG,ATL,3,360,103
283,DL,1949,RDU,ATL,3,360,87
284,DL,2205,MDW,ATL,3,360,120
285,DL,2280,STL,ATL,3,360,110
286,DL,2437,CLT,ATL,3,360,82
287,DL,2480,SEA,DTW,3,360,253
288,DL,2525,BOS,MSP,3,360,210
289,DL,2530,BZN,MSP,3,360,138
290,DL,2581,SDF,ATL,3,360,84
291,DL,2806,SFO,MSP,3,360,222
292,DL,2816,LAS,DTW,3,360,233
293,DL,725,SFO,SLC,3,360,113
294,EV,4942,JAX,DCA,3,360,112
295,EV,4946,ABY,ATL,3,360,50
296,EV,4979,TRI,ATL,3,360,67
297,EV,4998,XNA,ATL,3,360,119
298,EV,5011,ROA,DTW,3,360,98
299,EV,5027,MLI,ATL,3,360,130
300,EV,5079,LYH,ATL,3,360,85
301,EV,5141,EVV,ATL,3,360,80
302,EV,5169,HPN,ATL,3,360,151
303,EV,5265,SYR,DTW,3,360,115
304,EV,5275,FAY,ATL,3,360,86
305,EV,5313,EWN,ATL,3,360,98
306,EV,5316,CSG,ATL,3,360,44
307,EV,5366,SGF,ATL,3,360,119
308,EV,5374,CAK,ATL,3,360,109
309,EV,5387,GPT,ATL,3,360,80
310,EV,5435,MLU,ATL,3,360,98
311,EV,5460,MOB,ATL,3,360,77
312,EV,5479,LFT,ATL,3,360,120
313,EV,5491,OAJ,ATL,3,360,98
314,EV,5507,CHO,ATL,3,360,102
315,EV,5564,ILM,ATL,3,360,88
316,EV,5605,ROA,ATL,3,360,86
317,EV,7070,ROA,ORD,3,360,116
318,EV,7075,DTW,IAD,3,360,90
319,EV,7086,DAY,IAD,3,360,90
320,EV,7097,CMH,ORD,3,360,82
321,EV,7100,CAE,ORD,3,360,128
322,EV,7116,JFK,IAD,3,360,81
323,EV,7323,BMI,ATL,3,360,115
324,EV,7378,DEN,CVG,3,360,158
325,F9,225,MDW,DEN,3,360,157
326,F9,377,BOS,MKE,3,360,165
327,FL,143,DTW,ATL,3,360,125
328,FL,155,IND,BWI,3,360,105
329,FL,183,DCA,ATL,3,360,123
330,FL,200,CAK,ATL,3,360,120
331,FL,254,FNT,ATL,3,360,134
332,FL,281,BOS,ATL,3,360,180
333,FL,359,LGA,ATL,3,360,161
334,FL,429,PNS,ATL,3,360,69
335,FL,557,BUF,ATL,3,360,135
336,FL,630,DAY,BWI,3,360,93
337,FL,726,DFW,MKE,3,360,135
338,FL,738,MSP,MKE,3,360,70
339,FL,84,FLL,ATL,3,360,113
340,FL,901,PHF,ATL,3,360,123
341,FL,912,MKE,BWI,3,360,120
342,FL,942,ROC,BWI,3,360,83
343,FL,967,ACY,ATL,3,360,135
344,MQ,2731,CVG,DFW,3,360,165
345,MQ,2750,JAN,DFW,3,360,100
346,MQ,2963,CID,DFW,3,360,140
347,MQ,3256,GRK,DFW,3,360,50
348,MQ,3265,HOU,DFW,3,360,70
349,MQ,3280,CRP,DFW,3,360,80
350,MQ,3325,DSM,DFW,3,360,130
351,MQ,3357,MOB,DFW,3,360,115
352,MQ,3372,BTR,DFW,3,360,90
353,MQ,3450,XNA,DFW,3,360,70
354,MQ,3512,MKE,DFW,3,360,165
355,MQ,3650,TYS,MIA,3,360,135
356,MQ,3736,ORD,EWR,3,360,120
357,MQ,3748,ORD,MSP,3,360,85
358,MQ,3768,EWR,ORD,3,360,165
359,MQ,3807,ORD,ATL,3,360,120
360,MQ,3853,ATL,ORD,3,360,115
361,MQ,3884,CLE,ORD,3,360,85
362,MQ,3908,CRW,ORD,3,360,105
363,MQ,3914,ICT,ORD,3,360,105
364,MQ,3939,BNA,ORD,3,360,105
365,MQ,4067,RIC,ORD,3,360,140
366,MQ,4114,PIT,ORD,3,360,105
367,MQ,4176,CMH,ORD,3,360,80
368,MQ,4223,ROC,ORD,3,360,125
369,MQ,4260,BWI,ORD,3,360,140
370,MQ,4275,MSN,ORD,3,360,55
371,MQ,4382,BOS,JFK,3,360,79
372,MQ,4420,BOS,LGA,3,360,80
373,MQ,4448,DCA,JFK,3,360,70
374,MQ,4581,CLT,LGA,3,360,110
375,MQ,4625,LGA,RDU,3,360,100
376,MQ,4629,RDU,LGA,3,360,95
377,MQ,4650,LGA,ATL,3,360,150
378,MQ,4697,DTW,LGA,3,360,100
379,OH,6341,RIC,DTW,3,360,125
380,OH,6357,BDL,DCA,3,360,84
381,OH,6379,BOS,JFK,3,360,88
382,OH,6401,HTS,CVG,3,360,53
383,OH,6560,ORD,JFK,3,360,133
384,OH,6655,OMA,MEM,3,360,114
385,OH,6668,CHS,LGA,3,360,118
386,OO,4611,SAT,SLC,3,360,175
387,OO,4662,ABQ,SLC,3,360,101
388,OO,4676,BNA,MSP,3,360,144
389,OO,4765,LAS,LAX,3,360,75
390,OO,4802,DFW,SLC,3,360,168
391,OO,4888,COS,MSP,3,360,135
392,OO,6245,MFR,SFO,3,360,81
393,OO,6285,MFR,DEN,3,360,155
394,OO,6300,FAT,LAX,3,360,59
395,OO,6330,ONT,SFO,3,360,85
396,OO,6345,PSC,SFO,3,360,125
397,OO,6359,BOI,SFO,3,360,112
398,OO,6399,ORD,MCI,3,360,88
399,OO,6405,PDX,SFO,3,360,105
400,OO,6434,SBP,LAX,3,360,62
401,OO,6471,ABQ,LAX,3,360,121
402,OO,6506,ELP,LAX,3,360,137
403,OO,6512,CLD,LAX,3,360,40
404,OO,6586,PSP,DEN,3,360,131
405,OO,6612,SLC,DEN,3,360,93
406,OO,6682,SBA,DEN,3,360,142
407,OO,6684,MEM,ORD,3,360,110
408,OO,6732,MRY,DEN,3,360,146
409,OO,6743,ATW,ORD,3,360,55
410,OO,6766,GEG,SFO,3,360,136
411,OO,6820,RDD,SFO,3,360,78
412,OO,6836,PAH,ORD,3,360,78
413,OO,6893,ACV,SFO,3,360,82
414,OO,6918,CMX,ORD,3,360,82
415,OO,6930,ORD,TYS,3,360,87
416,OO,6936,SPI,ORD,3,360,60
417,OO,6948,COS,ORD,3,360,146
418,OO,6949,EUG,DEN,3,360,155
419,OO,6975,DFW,ORD,3,360,139
420,OO,6997,MKE,ORD,3,360,44
421,OO,7006,EUG,PDX,3,360,41
422,OO,7008,CIC,SFO,3,360,65
423,OO,7049,SEA,PDX,3,360,48
424,OO,7763,PIH,SLC,3,360,48
425,OO,7768,SGU,SLC,3,360,73
426,OO,7799,COD,SLC,3,360,89
427,UA,189,BWI,ORD,3,360,135
428,UA,18,LAX,DEN,3,360,146
429,UA,201,BOS,IAD,3,360,103
430,UA,203,BOS,ORD,3,360,171
431,UA,226,SFO,BOS,3,360,342
432,UA,234,OMA,ORD,3,360,96
433,UA,257,JAX,ORD,3,360,156
434,UA,303,JFK,SFO,3,360,404
435,UA,32,PDX,DEN,3,360,146
436,UA,337,PHL,ORD,3,360,137
437,UA,376,ORD,PHL,3,360,125
438,UA,410,SMF,DEN,3,360,144
439,UA,468,SEA,SFO,3,360,130
440,UA,475,CLT,ORD,3,360,133
441,UA,494,DSM,ORD,3,360,80
442,UA,506,SFO,PHX,3,360,120
443,UA,510,LAS,SFO,3,360,95
444,UA,520,MSP,ORD,3,360,84
445,UA,532,DEN,ORD,3,360,141
446,UA,650,BDL,IAD,3,360,94
447,UA,668,ORD,LGA,3,360,127
448,UA,669,LGA,ORD,3,360,150
449,UA,705,IAD,ORD,3,360,131
450,UA,707,ORD,DEN,3,360,160
451,UA,736,SFO,LAS,3,360,98
452,UA,740,OAK,DEN,3,360,146
453,UA,90,LAX,SFO,3,360,89
454,UA,922,ORD,IAD,3,360,108
455,US,1050,RDU,CLT,3,360,57
456,US,1262,MIA,PHL,3,360,169
457,US,1267,LGA,PHL,3,360,57
458,US,1296,STL,CLT,3,360,113
459,US,1440,BNA,CLT,3,360,74
460,US,1772,MHT,CLT,3,360,152
461,US,1997,ORD,CLT,3,360,118
462,US,2021,BOS,DCA,3,360,96
463,US,2114,LGA,BOS,3,360,62
464,US,2115,BOS,LGA,3,360,70
465,US,2158,DCA,LGA,3,360,60
466,US,2161,LGA,DCA,3,360,59
467,US,270,IAH,PHX,3,360,172
468,US,56,ORD,PHL,3,360,119
469,US,578,SFO,PHX,3,360,111
470,US,595,MCI,PHX,3,360,174
471,US,652,IND,PHX,3,360,235
472,US,86,OMA,PHX,3,360,175
473,US,952,FLL,PHL,3,360,157
474,US,985,MSY,CLT,3,360,108
475,WN,1067,OAK,SAN,3,360,85
476,WN,109,MSY,DEN,3,360,180
477,WN,1289,GEG,SEA,3,360,70
478,WN,1357,SMF,ONT,3,360,80
479,WN,1851,ONT,OAK,3,360,80
480,WN,1929,LAX,DEN,3,360,135
481,WN,2529,IND,DEN,3,360,185
482,WN,2643,SMF,LAX,3,360,80
483,WN,2891,MDW,IAD,3,360,105
484,WN,3061,LGA,MDW,3,360,150
485,WN,367,MDW,BNA,3,360,85
486,WN,3,LIT,DAL,3,360,70
487,WN,406,SEA,LAS,3,360,140
488,WN,425,BOS,MDW,3,360,175
489,WN,647,PHX,DEN,3,360,105
490,WN,702,MDW,LAS,3,360,245
491,WN,735,IAD,DEN,3,360,240
492,WN,748,SMF,DEN,3,360,145
493,WN,799,LAX,SFO,3,360,80
494,WN,944,OAK,ONT,3,360,75
495,XE,2143,GSP,IAH,3,360,160
496,XE,2231,JAN,IAH,3,360,77
497,XE,2384,SHV,IAH,3,360,55
498,XE,2485,ORF,IAH,3,360,201
499,XE,2614,CMH,EWR,3,360,97
500,XE,2644,GPT,IAH,3,360,81
501,XE,2652,LEX,IAH,3,360,159
502,XE,2745,BNA,EWR,3,360,127
503,XE,2904,GRR,CLE,3,360,58
504,XE,2997,MSP,EWR,3,360,158
505,XE,3037,CHS,IAH,3,360,167
506,XE,3047,BHM,IAH,3,360,116
507,XE,3066,RIC,EWR,3,360,69
508,XE,3115,PVD,CLE,3,360,117
509,XE,5905,ABE,ORD,3,360,136
510,XE,5924,ICT,ORD,3,360,110
511,XE,5941,TUL,ORD,3,360,113
512,XE,5949,BTV,ORD,3,360,159
